Components List
0	1	0	09010000	17	152	81	81	744	1122	Image/Icon
1	2	0	09010000	17	266	81	81	7683	8091	Image/Icon
2	3	0	09010000	17	375	354	66	14652	14680	Image/Icon
3	4	0	09010000	17	40	81	81	38044	38328	Image/Icon
4	5	1	08020082	152	391	69	34	44889	44921	AM/PM label
5	5	2	08020082	152	391	69	34	47267	47299	AM/PM label
6	6	1	08020082	152	399	56	26	49645	49679	AM/PM label
7	6	2	08020082	152	399	53	26	51135	51169	AM/PM label
8	7	1	0c020082	121	52	55	22	52547	52581	Sleep label
9	7	2	0c020082	128	58	43	16	53791	53825	Sleep label
10	8	1	0c020082	128	271	43	22	54513	54545	Sleep label
11	8	2	0c020082	121	277	55	16	55491	55525	Sleep label
12	9	1	0c020082	126	170	45	22	56405	56439	Sleep label
13	9	2	0c020082	117	177	66	16	57429	57463	Sleep label
14	10	0	108a8300	157	91	14	210	58519	58553	Heart Rate no
15	10	0	108a8300	143	91	14	210	58519	58553	Heart Rate no
16	10	0	108a8300	128	91	14	210	58519	58553	Heart Rate no
17	11	0	0f8a8400	164	310	14	210	58519	58553	Calories no
18	11	0	0f8a8400	149	310	14	210	58519	58553	Calories no
19	11	0	0f8a8400	134	310	14	210	58519	58553	Calories no
20	11	0	0f8a8400	120	310	14	210	58519	58553	Calories no
21	12	0	0e8a8500	172	208	14	210	58519	58553	Steps no
22	12	0	0e8a8500	157	208	14	210	58519	58553	Steps no
23	12	0	0e8a8500	143	208	14	210	58519	58553	Steps no
24	12	0	0e8a8500	128	208	14	210	58519	58553	Steps no
25	12	0	0e8a8500	113	208	14	210	58519	58553	Steps no
26	13	0	038a8200	256	396	19	290	61493	61527	Month no
27	13	0	038a8200	237	396	19	290	61493	61527	Month no
28	14	0	09010000	276	394	16	34	67037	67069	Image/Icon
29	15	0	028a8200	312	396	19	290	61493	61527	Date no
30	15	0	028a8200	292	396	19	290	61493	61527	Date no
31	16	0	008a8200	289	43	84	1230	67613	67647	Hour no
32	16	0	008a8200	204	43	84	1230	67613	67647	Hour no
33	17	0	018a8200	286	211	97	1360	170967	171137	Minute no
34	17	0	018a8200	188	211	97	1360	170967	171137	Minute no
35	18	1	06870082	50	391	71	238	303057	303091	Weekday label
36	18	2	06870082	50	398	76	189	319989	320023	Weekday label
